City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Arlit,NE,82.15,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
19,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
21,Palu,ID,82.24,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
29,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
30,West Bay,KY,81.07,scattered clouds,19.3667,-81.4167,Calypso Cove
31,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Butaritari,KI,81.64,few clouds,3.0707,172.7902,Isles Sunset Lodge
43,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
45,Rikitea,PF,76.91,scattered clouds,-23.1203,-134.9692,People ThankYou
53,Savantvadi,IN,80.15,overcast clouds,15.9,73.8167,Galaxy Lake Resort
54,Buala,SB,84.88,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
56,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
61,Lawrenceburg,US,81.18,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
73,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
86,Wichita,US,76.17,clear sky,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
88,Sao Jose De Ribamar,BR,84.58,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
90,Coahuayana,MX,81.46,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
93,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
102,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
106,Mae Chan,TH,77.23,scattered clouds,20.1467,99.8526,Kiang Dao Resort
107,Gopamau,IN,88.92,broken clouds,27.55,80.2833,Divyansh Srivastava
112,Guanica,PR,81.1,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
116,Noumea,NC,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
117,Ca Mau,VN,86.61,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
131,Tahoua,NE,82.35,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
138,Bundaberg,AU,80.22,broken clouds,-24.85,152.35,Takalvan Motel
145,Bandarbeyla,SO,81.43,overcast clouds,9.4942,50.8122,JABIR HOTEL
150,Grand-Lahou,CI,79.7,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
152,Kontagora,NG,81.18,overcast clouds,10.3999,5.4695,Queens Guest Inn
155,Greenville,US,80.55,scattered clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
156,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
159,Ukiah,US,75.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
162,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
163,Veraval,IN,82.42,clear sky,20.9,70.3667,Lords Inn Somnath
164,Mattru,SL,78.15,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
168,Kendari,ID,85.26,clear sky,-3.945,122.4989,Hotel Wixel
184,Mayumba,GA,76.95,broken clouds,-3.432,10.6554,LIKWALE LODGE
188,Hamilton,US,79.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
189,Kavieng,PG,84.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
191,Eydhafushi,MV,81.95,light rain,5.1033,73.0708,Soneva Fushi
194,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
195,Namatanai,PG,84.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
196,Wewak,PG,81.81,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
197,Gigmoto,PH,85.12,overcast clouds,13.7796,124.39,Cj's Travellers Inn
200,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
203,Lorengau,PG,84.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
206,Lethem,GY,79.36,overcast clouds,3.3803,-59.7968,Savannah Inn
209,Axim,GH,78.82,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
211,Ewa Beach,US,81.43,broken clouds,21.3156,-158.0072,Base Lodging
215,Ranot,TH,83.07,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
216,Bowen,AU,79.2,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
220,Ngemplak,ID,81.01,broken clouds,-7.5497,110.7164,Santana Syariah Guest House
221,Baghdad,IQ,82.31,dust,33.3406,44.4009,Baghdad Hotel
224,Nuevo Progreso,MX,83.53,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
227,Majene,ID,83.71,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
232,Cocorit,MX,88.14,broken clouds,27.5833,-109.9667,Kaba Motel
234,Cockburn Town,TC,79.02,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
235,Kudat,MY,84.29,few clouds,6.8837,116.8477,Dream Garden Hotel
253,Kourou,GF,80.11,moderate rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
254,Wajir,KE,77.32,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
260,Tabou,CI,78.64,light rain,4.423,-7.3528,hotêl doufoulougou
262,Sur,OM,82.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
263,Umm Lajj,SA,83.66,clear sky,25.0213,37.2685,Moon light Furnished Units
271,Bilma,NE,78.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
275,Parintins,BR,75.47,moderate rain,-2.6283,-56.7358,Cama e Cafe
276,Domoni,KM,78.28,clear sky,-12.2569,44.5319,Al Djadid
280,Harper,LR,78.58,light rain,4.375,-7.7169,Screensaver
281,Tual,ID,82.65,moderate rain,-5.6667,132.75,Grand Vilia Hotel
283,Atar,MR,89.8,overcast clouds,20.5169,-13.0499,Oumou Elghoura
284,Faanui,PF,80.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
289,Keti Bandar,PK,81.86,clear sky,24.1447,67.4497,Haji laloo memon house
290,Tautira,PF,81.25,light rain,-17.7333,-149.15,Pension Oaoa
292,Karratha,AU,78.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
298,Sao Filipe,CV,75.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
302,Banjarmasin,ID,77.14,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
304,Basco,PH,81.21,heavy intensity rain,20.4487,121.9702,Nathaniel's Lodge
305,Bonthe,SL,81.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
306,Grove City,US,79.07,clear sky,39.8815,-83.093,Drury Inn & Suites Columbus Grove City
307,Vaitape,PF,80.46,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
310,Bahawalpur,PK,85.33,clear sky,29.4,71.6833,5th Avenue | Royaute Luxury Hotels
312,Kaduqli,SD,79.68,overcast clouds,11.0167,29.7167,Nussyba
313,Santarem,BR,78.93,moderate rain,-2.4431,-54.7083,Hotel Imperador
318,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
326,Sabang,ID,83.59,overcast clouds,5.8933,95.3214,Hotel Citra
331,Ugoofaaru,MV,80.74,moderate rain,5.6667,73.0,Ungoofaaru Inn
332,Mazatlan,MX,84.16,clear sky,23.2167,-106.4167,Hotel La Siesta
333,Touros,BR,77.25,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
334,Wahiawa,US,78.21,overcast clouds,21.5028,-158.0236,The Inn At Schofield
335,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
350,Makakilo City,US,80.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
351,Port-Gentil,GA,80.2,light rain,-0.7193,8.7815,Fengshui Residence
353,Songkhla,TH,83.84,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
357,Ciudad Bolivar,VE,82.36,overcast clouds,8.1222,-63.5497,Hotel Edi
359,Mitsamiouli,KM,79.43,clear sky,-11.3847,43.2844,Foyer ADM
362,Marawi,PH,78.6,overcast clouds,7.9986,124.2928,Derogongan Residence
363,Gold Coast,AU,78.91,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
364,Muisne,EC,78.26,light rain,0.6,-80.0333,Quinta Samay
367,Hervey Bay,AU,79.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
374,San Jose,US,77.09,broken clouds,37.3394,-121.895,The Westin San Jose
375,Cravo Norte,CO,80.85,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
391,Sakakah,SA,76.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
392,Tchollire,CM,76.35,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
395,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
396,Ambad,IN,84.79,scattered clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
397,Dhidhdhoo,MV,82.09,overcast clouds,6.8833,73.1,Dhidhoo beach
399,Madang,PG,85.66,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
404,San Miguel,SV,89.26,clear sky,13.4833,-88.1833,Excalibur
405,Mackay,AU,83.68,clear sky,-21.15,149.2,International Lodge Motel
409,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
415,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
418,Oriximina,BR,75.74,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
420,Abeokuta,NG,76.37,overcast clouds,7.15,3.35,Park Inn by Radisson
423,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
424,Gladstone,AU,78.78,overcast clouds,-23.85,151.25,Highpoint International Hotel
425,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
426,Guadalajara,MX,85.77,broken clouds,20.6667,-103.3333,Hotel Aranzazú
427,Bahile,PH,82.27,overcast clouds,9.9995,118.7878,Nitivos Beach Resort
429,Aloleng,PH,85.08,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
431,Itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
435,Kalmunai,LK,79.74,few clouds,7.4167,81.8167,VS Villa
438,Kirakira,SB,83.53,scattered clouds,-10.4544,161.9205,SanBiz Lodge
441,Port Blair,IN,83.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
442,Hadejia,NG,82.58,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
444,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
447,Tucurui,BR,75.87,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
452,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
453,Cairns,AU,84.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
459,Kibala,TD,76.95,few clouds,9.1104,18.3463,hotel safari
460,Basag,PH,83.89,overcast clouds,8.9247,125.6178,Gents Dormitory
463,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
466,Garissa,KE,75.76,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
469,Kulhudhuffushi,MV,81.84,overcast clouds,6.6221,73.07,Haajy Guest House 1
472,Shwebo,MM,84.97,broken clouds,22.5667,95.7,MOON SHINE Guest House
478,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
483,Parit Buntar,MY,80.58,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
485,Biltine,TD,83.08,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
486,Pivijay,CO,79.66,overcast clouds,10.4617,-74.6162,Hospedaje La Posada
489,Tchamba,TG,79.03,light rain,9.0333,1.4167,ROYAL HOTEL TCHAMBA
498,Salinas,US,78.01,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
503,Dharmavaram,IN,80.53,overcast clouds,14.4333,77.7167,BALAJI LODGE
504,Camocim,BR,77.45,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
515,Ingraj Bazar,IN,86.9,broken clouds,25.0,88.15,"Hotel Samrat, Malda"
519,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
521,San Patricio,US,87.19,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
522,Liberal,US,85.24,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
524,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
530,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
535,Haysville,US,76.03,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
536,Dingle,PH,84.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
537,Cayenne,GF,80.1,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
544,Aswan,EG,85.3,overcast clouds,24.0934,32.907,Nuba Nile
549,Maine-Soroa,NE,83.01,broken clouds,13.2114,12.0241,Complexe
551,Alenquer,BR,75.22,overcast clouds,-1.9417,-54.7383,Detinha Hotel
558,Gabu,GW,76.98,overcast clouds,12.2833,-14.2167,Hotel karsa
562,Sakhipur,BD,84.11,overcast clouds,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
564,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
565,Batticaloa,LK,80.13,scattered clouds,7.7102,81.6924,Grand Star Guest House
569,Piacabucu,BR,76.86,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
573,Dulce Nombre,HN,76.62,scattered clouds,14.85,-88.8333,Hotel Dulce Posada
574,Areia Branca,BR,78.37,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
575,Jaspur,IN,85.57,clear sky,29.2833,78.8167,ROYAL LAWNS JASPUR
576,Belmonte,BR,75.33,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
579,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
583,Los Algarrobos,PA,79.21,overcast clouds,8.5,-82.4333,Waterfall Hostel
584,Cumberland,US,81.1,clear sky,35.0502,-78.8664,American Eagle Inn
587,Nhulunbuy,AU,83.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
589,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
590,Acarau,BR,77.34,broken clouds,-2.8856,-40.12,castelo pizzaria
595,Kant,IN,88.43,scattered clouds,27.8,79.8,Haseeb Khan shatreng
600,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
602,Pasco,US,80.46,overcast clouds,28.292,-82.4165,Connection Community/Park
607,Jiwani,PK,82.06,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
609,Nicoya,CR,80.91,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
610,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
613,Waingapu,ID,82.83,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
620,Minab,IR,82.89,clear sky,27.1467,57.0801,Bam campground
621,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
622,Jackson,US,76.37,clear sky,42.4165,-122.8345,Agate Village Apartments
624,Pemangkat,ID,83.66,overcast clouds,1.1667,108.9667,Ramah Kost KITA
631,Innisfail,AU,79.27,clear sky,-17.5333,146.0333,Moondarra Motel
636,Kilindoni,TZ,80.67,clear sky,-7.9139,39.6668,Bustani B&B
641,Kavaratti,IN,79.92,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
648,Bubaque,GW,78.89,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
650,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
660,Mataram,ID,85.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
661,Morro Bay,US,86.94,few clouds,35.3658,-120.8499,Inn at Morro Bay
662,Kupang,ID,83.71,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
663,Betong,TH,77.32,overcast clouds,5.7743,101.0723,New Cathay Hotel
664,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
665,Ternate,ID,83.93,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
671,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Sítio Blasi
680,Chaah,MY,80.83,overcast clouds,2.249,103.048,OYO 90383 Chaah Homestay 1
681,Khanpur,PK,81.23,clear sky,28.6453,70.6567,Ahmad Bartan store
