City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Kaitangata,NZ,-46.2817,169.8464,54.0,67,5,3.11,clear sky,2022-05-16 00:27:35
1,Arraial Do Cabo,BR,-22.9661,-42.0278,74.34,83,77,21.43,broken clouds,2022-05-16 00:27:35
2,Vangaindrano,MG,-23.35,47.6,65.93,89,32,2.15,light rain,2022-05-16 00:27:36
3,Barrow,US,71.2906,-156.7887,33.82,80,75,9.22,broken clouds,2022-05-16 00:27:36
4,Novokayakent,RU,42.3937,47.9861,62.78,58,46,6.31,scattered clouds,2022-05-16 00:27:37
5,Castro,BR,-24.7911,-50.0119,54.0,97,16,4.52,few clouds,2022-05-16 00:27:37
6,Cidreira,BR,-30.1811,-50.2056,60.62,85,99,16.31,overcast clouds,2022-05-16 00:27:37
7,Rio Grande,BR,-32.035,-52.0986,51.94,71,84,10.74,broken clouds,2022-05-16 00:27:38
8,Albany,US,42.6001,-73.9662,69.73,93,58,4.41,broken clouds,2022-05-16 00:27:38
9,Yellowknife,CA,62.456,-114.3525,52.32,40,75,12.66,broken clouds,2022-05-16 00:25:46
10,East London,ZA,-33.0153,27.9116,61.88,84,0,7.9,clear sky,2022-05-16 00:27:39
11,Hithadhoo,MV,-0.6,73.0833,82.69,76,99,12.15,overcast clouds,2022-05-16 00:27:39
12,Arlit,NE,18.7369,7.3853,82.15,15,0,4.43,clear sky,2022-05-16 00:27:40
13,Port Alfred,ZA,-33.5906,26.891,62.13,84,0,9.04,clear sky,2022-05-16 00:27:40
14,Camacha,PT,33.0833,-16.3333,62.02,94,0,4.61,clear sky,2022-05-16 00:27:41
15,Jumla,NP,29.2747,82.1838,52.47,72,2,4.83,clear sky,2022-05-16 00:23:58
16,Broome,US,42.2506,-75.833,70.02,84,0,6.91,clear sky,2022-05-16 00:24:58
17,Vestmannaeyjar,IS,63.4427,-20.2734,48.7,92,98,20.96,overcast clouds,2022-05-16 00:27:41
18,Egvekinot,RU,66.3167,-179.1667,28.35,86,100,1.41,overcast clouds,2022-05-16 00:27:42
19,Georgetown,MY,5.4112,100.3354,80.53,92,20,5.75,few clouds,2022-05-16 00:27:42
20,Kaeo,NZ,-35.1,173.7833,72.32,76,66,10.92,broken clouds,2022-05-16 00:27:42
21,Palu,ID,-0.8917,119.8707,82.24,82,26,1.03,scattered clouds,2022-05-16 00:27:43
22,Mahebourg,MU,-20.4081,57.7,73.69,88,40,11.5,scattered clouds,2022-05-16 00:27:43
23,Hermanus,ZA,-34.4187,19.2345,58.8,66,0,9.53,clear sky,2022-05-16 00:23:09
24,Tuatapere,NZ,-46.1333,167.6833,56.7,57,4,4.27,clear sky,2022-05-16 00:27:44
25,Raudeberg,NO,61.9875,5.1352,42.87,87,35,14.47,scattered clouds,2022-05-16 00:27:44
26,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,79,3.0,broken clouds,2022-05-16 00:24:51
27,Geraldton,AU,-28.7667,114.6,57.61,72,0,14.97,clear sky,2022-05-16 00:27:45
28,Cape Town,ZA,-33.9258,18.4232,61.12,83,0,5.99,mist,2022-05-16 00:25:49
29,Salalah,OM,17.0151,54.0924,82.49,47,2,6.91,clear sky,2022-05-16 00:27:45
30,West Bay,KY,19.3667,-81.4167,81.07,78,40,8.05,scattered clouds,2022-05-16 00:27:46
31,Kapaa,US,22.0752,-159.319,82.38,73,0,9.22,clear sky,2022-05-16 00:27:46
32,Bulach,CH,47.522,8.5405,65.32,83,100,1.14,overcast clouds,2022-05-16 00:27:46
33,Caravelas,BR,-17.7125,-39.2481,74.03,77,98,5.3,overcast clouds,2022-05-16 00:27:47
34,Saint-Philippe,RE,-21.3585,55.7679,67.59,87,52,10.65,light rain,2022-05-16 00:27:47
35,Ribeira Grande,PT,38.5167,-28.7,60.17,80,85,43.98,light rain,2022-05-16 00:27:48
36,Vaini,TO,-21.2,-175.2,73.56,88,40,6.91,light intensity drizzle,2022-05-16 00:25:03
37,Akdepe,TM,42.0551,59.3788,60.89,21,19,8.16,few clouds,2022-05-16 00:27:48
38,Viedma,AR,-40.8135,-62.9967,52.09,74,94,20.49,overcast clouds,2022-05-16 00:27:49
39,Millau,FR,44.0833,2.9167,64.53,91,78,3.36,broken clouds,2022-05-16 00:27:49
40,Busselton,AU,-33.65,115.3333,55.02,73,42,8.68,scattered clouds,2022-05-16 00:23:06
41,Butaritari,KI,3.0707,172.7902,81.64,75,12,10.45,few clouds,2022-05-16 00:27:50
42,Bluff,NZ,-46.6,168.3333,50.81,70,9,8.01,clear sky,2022-05-16 00:27:50
43,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,8.05,scattered clouds,2022-05-16 00:27:50
44,Narsaq,GL,60.9167,-46.05,39.42,72,43,3.89,scattered clouds,2022-05-16 00:27:51
45,Rikitea,PF,-23.1203,-134.9692,76.91,70,43,18.9,scattered clouds,2022-05-16 00:27:52
46,Orange,US,33.7,-117.7675,91.24,51,40,11.5,scattered clouds,2022-05-16 00:27:33
47,Katsuura,JP,35.1333,140.3,59.02,95,100,5.23,moderate rain,2022-05-16 00:24:35
48,Shima,CN,24.4478,117.8111,62.62,92,100,3.44,overcast clouds,2022-05-16 00:28:52
49,Nome,US,64.5011,-165.4064,42.87,75,0,10.36,clear sky,2022-05-16 00:28:53
50,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,75,4.61,broken clouds,2022-05-16 00:26:24
51,Vostok,RU,46.4856,135.8833,44.33,70,39,8.57,scattered clouds,2022-05-16 00:28:54
52,Kargasok,RU,59.0556,80.8572,52.23,78,5,7.85,clear sky,2022-05-16 00:28:54
53,Savantvadi,IN,15.9,73.8167,80.15,82,99,5.06,overcast clouds,2022-05-16 00:28:55
54,Buala,SB,-8.145,159.5921,84.88,67,7,1.05,clear sky,2022-05-16 00:28:55
55,Nazas,MX,25.2333,-104.1333,93.33,10,5,18.21,clear sky,2022-05-16 00:28:56
56,Bengkulu,ID,-3.8004,102.2655,76.5,91,97,4.32,overcast clouds,2022-05-16 00:24:55
57,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,5.75,clear sky,2022-05-16 00:28:57
58,Ponta Do Sol,PT,32.6667,-17.1,68.72,84,9,6.17,clear sky,2022-05-16 00:28:57
59,Westport,US,41.1415,-73.3579,71.89,88,0,12.66,fog,2022-05-16 00:25:24
60,Stettler,CA,52.3168,-112.7186,65.52,24,85,2.3,overcast clouds,2022-05-16 00:28:58
61,Lawrenceburg,US,38.0373,-84.8966,81.18,70,0,6.91,clear sky,2022-05-16 00:28:58
62,Jesup,US,31.6074,-81.8854,70.68,94,0,0.0,clear sky,2022-05-16 00:28:58
63,Beringovskiy,RU,63.05,179.3167,36.1,84,84,4.5,broken clouds,2022-05-16 00:28:59
64,Clyde River,CA,70.4692,-68.5914,25.03,86,100,5.75,overcast clouds,2022-05-16 00:28:59
65,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,mist,2022-05-16 00:25:43
66,Kalmar,SE,56.6616,16.3616,42.96,92,20,1.01,few clouds,2022-05-16 00:29:00
67,Bredasdorp,ZA,-34.5322,20.0403,54.32,84,0,3.6,clear sky,2022-05-16 00:28:29
68,Flinders,AU,-34.5833,150.8552,71.06,73,0,7.0,clear sky,2022-05-16 00:29:00
69,Shawnee,US,39.05,-95.7669,74.17,64,20,12.66,few clouds,2022-05-16 00:29:01
70,Leua,SK,48.2156,18.6071,59.5,74,2,5.82,clear sky,2022-05-16 00:29:01
71,Ngunguru,NZ,-35.6167,174.5,70.59,66,60,9.91,broken clouds,2022-05-16 00:29:02
72,Saskylakh,RU,71.9167,114.0833,33.4,100,100,5.7,overcast clouds,2022-05-16 00:24:50
73,Hilo,US,19.7297,-155.09,85.28,72,100,14.97,overcast clouds,2022-05-16 00:29:02
74,Beidao,CN,34.5686,105.8933,54.48,68,55,1.95,broken clouds,2022-05-16 00:29:02
75,Ushuaia,AR,-54.8,-68.3,51.46,43,0,8.05,clear sky,2022-05-16 00:25:10
76,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,86,40,5.75,scattered clouds,2022-05-16 00:29:03
77,Provideniya,RU,64.3833,-173.3,41.36,70,75,13.42,broken clouds,2022-05-16 00:25:37
78,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,60,75,14.97,broken clouds,2022-05-16 00:29:03
79,Bilibino,RU,68.0546,166.4372,31.91,92,90,4.09,overcast clouds,2022-05-16 00:29:04
80,Talnakh,RU,69.4865,88.3972,37.42,89,98,10.8,overcast clouds,2022-05-16 00:29:04
81,Kahului,US,20.8947,-156.47,89.62,43,40,18.41,scattered clouds,2022-05-16 00:29:05
82,Inta,RU,66.0317,60.1659,43.54,94,100,2.93,overcast clouds,2022-05-16 00:29:05
83,Budureasa,RO,46.6667,22.5,56.95,64,10,5.12,clear sky,2022-05-16 00:29:06
