City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Llangefni,GB,2022-05-15 21:03:44,53.2556,-4.3106,64.26,81,100,8.05
1,Thompson,CA,2022-05-15 21:03:44,55.7435,-97.8558,35.17,97,100,11.25
2,Mahebourg,MU,2022-05-15 21:01:35,-20.4081,57.7,72.25,82,66,7.83
3,Souillac,MU,2022-05-15 21:03:45,-20.5167,57.5167,74.37,84,89,7.85
4,Victoria,HK,2022-05-15 21:02:57,22.2855,114.1577,69.33,86,100,11.01
5,Castro,BR,2022-05-15 21:01:39,-24.7911,-50.0119,56.55,95,25,5.3
6,Port Elizabeth,ZA,2022-05-15 20:57:51,-33.918,25.5701,62.89,97,0,6.91
7,Busselton,AU,2022-05-15 20:59:06,-33.65,115.3333,51.8,82,5,6.78
8,Albany,US,2022-05-15 21:00:13,42.6001,-73.9662,77.4,90,35,5.17
9,Grinnell,US,2022-05-15 21:03:46,41.743,-92.7224,73.26,49,100,5.75
10,Tasiilaq,GL,2022-05-15 21:03:14,65.6145,-37.6368,35.76,98,100,16.17
11,Byron Bay,AU,2022-05-15 21:03:46,-28.65,153.6167,69.71,94,11,3.4
12,Atuona,PF,2022-05-15 21:03:47,-9.8,-139.0333,78.28,77,12,17.47
13,Comodoro Rivadavia,AR,2022-05-15 21:03:47,-45.8667,-67.5,49.26,63,0,7.94
14,Khatanga,RU,2022-05-15 20:57:49,71.9667,102.5,30.79,94,100,1.54
15,Torbay,CA,2022-05-15 20:55:21,47.6666,-52.7314,39.27,78,20,13.8
16,Karratha,AU,2022-05-15 21:03:48,-20.7377,116.8463,73.8,50,2,10.11
17,Kapaa,US,2022-05-15 21:03:48,22.0752,-159.319,79.48,77,77,5.01
18,Cape Town,ZA,2022-05-15 21:00:46,-33.9258,18.4232,59.11,84,0,5.01
19,Jamestown,US,2022-05-15 21:03:49,42.097,-79.2353,80.53,50,0,14.97
20,Cherskiy,RU,2022-05-15 20:57:56,68.75,161.3,28.85,81,81,7.38
21,Kulynychi,UA,2022-05-15 21:03:49,49.9823,36.3842,50.16,83,64,8.99
22,Punta Arenas,CL,2022-05-15 21:00:43,-53.15,-70.9167,46.11,70,97,6.93
23,Rikitea,PF,2022-05-15 21:02:30,-23.1203,-134.9692,76.96,72,64,19.01
24,Ixtapa,MX,2022-05-15 21:03:50,20.7,-105.2,81.63,57,0,13.8
25,Lakes Entrance,AU,2022-05-15 21:03:50,-37.8811,147.981,50.16,76,55,8.19
26,Traverse City,US,2022-05-15 21:00:09,44.7631,-85.6206,69.91,45,56,6.15
27,Shingu,JP,2022-05-15 21:00:05,33.7333,135.9833,57.58,89,100,2.21
28,Bilma,NE,2022-05-15 21:03:51,18.6853,12.9164,83.95,14,0,9.78
29,Olinda,BR,2022-05-15 21:00:14,-8.0089,-34.8553,78.91,83,99,7.92
30,Kaitangata,NZ,2022-05-15 21:03:51,-46.2817,169.8464,43.48,92,11,4.16
31,Rengo,CL,2022-05-15 21:03:52,-34.4167,-70.8667,72.27,21,47,2.53
32,Aras,ES,2022-05-15 21:03:52,42.5617,-2.356,64.81,60,0,4.61
33,Kodiak,US,2022-05-15 20:52:49,57.79,-152.4072,53.11,37,100,6.91
34,New Norfolk,AU,2022-05-15 21:03:53,-42.7826,147.0587,47.7,81,56,1.01
35,Tuktoyaktuk,CA,2022-05-15 21:03:53,69.4541,-133.0374,34.72,86,99,12.17
36,Saskylakh,RU,2022-05-15 21:03:53,71.9167,114.0833,33.37,100,100,4.76
37,Sinnamary,GF,2022-05-15 21:03:54,5.3833,-52.95,79.81,90,100,10.98
38,Astana,KZ,2022-05-15 21:03:54,51.1801,71.446,53.55,66,88,6.71
39,Nikolayevsk-Na-Amure,RU,2022-05-15 21:03:55,53.1406,140.73,35.19,99,99,4.38
40,Cidreira,BR,2022-05-15 20:59:01,-30.1811,-50.2056,62.08,87,100,15.82
41,Mataura,NZ,2022-05-15 21:03:55,-46.1927,168.8643,37.47,94,12,2.8
42,Saint-Augustin,CA,2022-05-15 21:04:55,51.226,-58.6502,44.17,53,60,11.1
43,Hammerfest,NO,2022-05-15 21:00:20,70.6634,23.6821,37.85,100,75,11.5
44,Tiquicheo,MX,2022-05-15 21:04:56,18.8833,-100.7333,104.85,20,37,6.96
45,Hobart,AU,2022-05-15 21:00:03,-42.8794,147.3294,48.06,82,75,10.36
46,Yar-Sale,RU,2022-05-15 21:04:56,66.8333,70.8333,37.47,95,48,7.72
47,Ribeira Grande,PT,2022-05-15 21:04:57,38.5167,-28.7,63.0,82,75,29.93
48,Eenhana,NA,2022-05-15 21:04:57,-17.4667,16.3333,70.09,29,91,6.82
49,Nikolskoye,RU,2022-05-15 21:04:58,59.7035,30.7861,44.49,89,53,6.6
50,Bintulu,MY,2022-05-15 21:04:58,3.1667,113.0333,79.03,87,81,2.95
51,Adrar,MR,2022-05-15 21:02:25,20.5022,-10.0711,91.13,10,62,10.67
52,Bluff,NZ,2022-05-15 21:04:59,-46.6,168.3333,37.8,85,11,8.41
53,Arlit,NE,2022-05-15 21:04:59,18.7369,7.3853,88.41,13,0,16.15
54,Bredasdorp,ZA,2022-05-15 21:04:59,-34.5322,20.0403,55.78,90,0,2.64
55,Hermanus,ZA,2022-05-15 21:05:00,-34.4187,19.2345,59.41,76,0,9.66
56,Butaritari,KI,2022-05-15 21:05:00,3.0707,172.7902,80.89,77,6,11.39
57,Ushuaia,AR,2022-05-15 21:02:55,-54.8,-68.3,41.63,83,100,10.02
58,Thinadhoo,MV,2022-05-15 21:05:01,0.5333,72.9333,83.86,71,96,16.64
59,Tutoia,BR,2022-05-15 21:05:01,-2.7619,-42.2744,79.03,88,67,9.08
60,Cabo San Lucas,MX,2022-05-15 21:00:11,22.8909,-109.9124,86.61,50,93,10.45
61,Babstovo,RU,2022-05-15 21:05:02,48.1167,132.4833,44.28,63,62,5.57
62,Hilo,US,2022-05-15 20:59:00,19.7297,-155.09,84.27,79,11,8.01
63,Qaanaaq,GL,2022-05-15 21:05:02,77.484,-69.3632,25.74,68,100,3.4
64,Esperance,AU,2022-05-15 21:05:03,-33.8667,121.9,49.84,75,99,3.22
65,Moussoro,TD,2022-05-15 21:05:03,13.6408,16.4901,89.2,17,28,10.22
66,Araouane,ML,2022-05-15 21:05:03,18.9048,-3.5265,85.71,8,3,2.8
67,Ouallam,NE,2022-05-15 21:05:04,14.3188,2.0866,93.76,25,75,3.22
68,Viedma,AR,2022-05-15 21:05:04,-40.8135,-62.9967,53.15,74,97,21.61
69,Coos Bay,US,2022-05-15 21:00:16,43.3665,-124.2179,70.0,87,100,17.27
70,Vaini,TO,2022-05-15 21:05:05,-21.2,-175.2,77.16,73,40,9.22
71,Tiksi,RU,2022-05-15 21:05:05,71.6872,128.8694,5.31,99,95,2.91
72,Mount Gambier,AU,2022-05-15 21:05:06,-37.8333,140.7667,53.26,63,100,12.64
73,Xunchang,CN,2022-05-15 21:05:06,28.4543,104.715,51.89,93,100,1.01
74,Kashi,CN,2022-05-15 21:05:06,39.4547,75.9797,62.73,57,100,5.28
75,Coahuayana,MX,2022-05-15 21:05:07,18.7333,-103.6833,91.51,34,46,8.25
76,Iralaya,HN,2022-05-15 21:05:07,15.0,-83.2333,84.09,69,17,7.81
77,Waingapu,ID,2022-05-15 21:05:08,-9.6567,120.2641,75.88,84,6,6.02
78,San Diego,US,2022-05-15 21:05:08,32.7153,-117.1573,92.48,70,75,11.5
79,The Pas,CA,2022-05-15 21:05:09,53.8251,-101.2541,41.31,76,100,13.98
80,Labytnangi,RU,2022-05-15 21:00:26,66.6572,66.4183,43.05,93,100,7.78
81,Upernavik,GL,2022-05-15 21:05:09,72.7868,-56.1549,19.85,80,13,7.7
82,Freeport,US,2022-05-15 21:05:10,40.6576,-73.5832,78.15,73,0,11.5
83,Yeppoon,AU,2022-05-15 20:55:20,-23.1333,150.7333,67.78,90,77,6.29
84,Paita,PE,2022-05-15 21:05:10,-5.0892,-81.1144,70.14,74,84,12.95
85,Kavieng,PG,2022-05-15 21:05:11,-2.5744,150.7967,81.23,70,100,4.29
86,Salalah,OM,2022-05-15 21:05:11,17.0151,54.0924,82.49,74,0,2.3
87,Cockburn Town,TC,2022-05-15 21:05:11,21.4612,-71.1419,79.21,79,96,17.9
88,Iwaki,JP,2022-05-15 21:06:12,37.05,140.8833,54.77,93,100,4.54
89,Tahlequah,US,2022-05-15 21:06:12,35.9154,-94.97,88.88,47,40,19.57
90,Mutis,CO,2022-05-15 21:06:13,6.2262,-77.4044,82.62,79,92,5.99
91,Khonsa,IN,2022-05-15 21:06:13,27.0167,95.5667,65.26,97,100,3.96
92,Chimoio,MZ,2022-05-15 21:06:13,-19.1164,33.4833,62.46,100,20,3.58
93,Nuevo Progreso,MX,2022-05-15 21:06:14,23.1667,-97.95,91.54,46,0,5.01
94,Boddam,GB,2022-05-15 21:06:14,57.4667,-1.7833,48.58,91,74,12.68
95,Hithadhoo,MV,2022-05-15 21:06:15,-0.6,73.0833,83.26,73,83,12.59
96,Kirovsk,UA,2022-05-15 21:06:15,48.6375,38.6428,48.63,89,13,8.93
97,Puerto Ayora,EC,2022-05-15 21:06:15,-0.7393,-90.3518,82.36,93,77,3.0
98,Oriximina,BR,2022-05-15 21:06:16,-1.7656,-55.8661,79.0,92,100,3.78
99,Yellowknife,CA,2022-05-15 21:06:16,62.456,-114.3525,53.56,34,100,11.99
100,Coquimbo,CL,2022-05-15 21:01:27,-29.9533,-71.3436,57.69,85,18,3.15
101,Provideniya,RU,2022-05-15 21:06:17,64.3833,-173.3,39.36,70,100,18.01
102,Avera,US,2022-05-15 21:06:17,33.194,-82.5271,89.55,40,85,6.67
103,Terme,TR,2022-05-15 21:06:17,41.2092,36.9739,53.53,84,100,8.39
